Date : 2026-04-19 01:14:03
Directory : e:\Projects\quent\lib
Total : 334 files,  569 codes, 6 comments, 62 blanks, all 637 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        334 |        569 |          6 |         62 |        637 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| features\main\search\data\domain                                                                                                                              |          2 |         53 |          0 |          7 |         60 |
| features\main\search\data\domain\repos                                                                                                                        |          1 |         14 |          0 |          2 |         16 |
| features\main\search\data\domain\use_cases                                                                                                                    |          1 |         39 |          0 |          5 |         44 |
| features\main\search\presentation                                                                                                                             |         19 |        841 |         35 |         96 |        972 |
| features\main\search\presentation (Files)                                                                                                                     |          1 |         18 |          0 |          3 |         21 |
| features\main\search\presentation\manager                                                                                                                     |          2 |         28 |         23 |         16 |         67 |
| features\main\search\presentation\manager\cubit                                                                                                               |          2 |         28 |         23 |         16 |         67 |
| features\main\search\presentation\widgets                                                                                                                     |         16 |        795 |         12 |         77 |        884 |
| features\main\startup                                                                                                                                         |          1 |         40 |          0 |          6 |         46 |
| features\main\startup\presentation                                                                                                                            |          1 |         40 |          0 |          6 |         46 |
| features\on_boarding                                                                                                                                          |          4 |        226 |          2 |         25 |        253 |
| features\on_boarding\presentation                                                                                                                             |          4 |        226 |          2 |         25 |        253 |
| features\on_boarding\presentation\pages                                                                                                                       |          4 |        226 |          2 |         25 |        253 |
| features\on_boarding\presentation\pages (Files)                                                                                                               |          1 |         10 |          0 |          4 |         14 |
| features\on_boarding\presentation\pages\widgets                                                                                                               |          3 |        216 |          2 |         21 |        239 |
